x,y,z,z2
7.09,0.0,-0.01054,-0.030059
10.54,0.0,-0.010537,-0.029982
14.13,0.0,-0.010645,-0.030928
17.76,0.0,-0.010047,-0.030219
21.09,0.0,-0.009197,-0.0298
24.85,0.0,-0.008904,-0.029905
28.52,0.0,-0.008673,-0.029936
32.2,0.0,-0.008254,-0.028975
35.83,0.0,-0.007789,-0.02802
39.37,0.0,-0.007592,-0.026593
42.92,0.0,-0.007129,-0.02721
46.37,0.0,-0.006812,-0.026094
49.96,0.0,-0.006255,-0.025897
53.46,0.0,-0.005928,-0.024847
57.05,0.0,-0.005364,-0.024995
60.59,0.0,-0.005068,-0.024804
64.09,0.0,-0.005084,-0.024397
67.59,0.0,-0.004095,-0.024274
71.18,0.0,-0.003981,-0.023149
74.24,0.0,-0.00314,-0.024576
78.49,0.0,-0.001905,-0.022274
82.08,0.0,-0.00106,-0.022234
85.62,0.0,-7.5e-05,-0.020694
89.16,0.0,0.000976,-0.020256
92.75,0.0,0.001598,-0.019027
96.29,0.0,0.002177,-0.018611
99.79,0.0,0.002458,-0.017709
103.38,0.0,0.003117,-0.017681
106.75,0.0,0.003065,-0.017274
110.51,0.0,0.002886,-0.01765
113.97,0.0,0.003145,-0.017456
117.47,0.0,0.003139,-0.017385
120.75,0.0,0.00345,-0.016556
124.6,0.0,0.004035,-0.016171
128.1,0.0,0.004127,-0.015537
131.69,0.0,0.004303,-0.015626
135.14,0.0,0.004254,-0.015574
138.78,0.0,0.004355,-0.01566
142.36,0.0,0.0041,-0.015925
145.95,0.0,0.003829,-0.015306
149.49,0.0,0.004161,-0.016076
152.91,0.0,0.003992,-0.01529
156.54,0.0,0.004171,-0.015549
159.99,0.0,0.003859,-0.0155
163.58,0.0,0.003896,-0.015882
167.13,0.0,0.004038,-0.015971
170.58,0.0,0.004038,-0.015866
174.17,0.0,0.003841,-0.016895
177.76,0.0,0.003859,-0.01651
180.95,0.0,0.003209,-0.017179
184.84,0.0,0.003095,-0.017425
188.39,0.0,0.003638,-0.017545
191.93,0.0,0.003126,-0.01798
195.48,0.0,0.002877,-0.017798
198.98,0.0,0.002898,-0.017823
202.56,0.0,0.002957,-0.018041
206.11,0.0,0.00308,-0.017478
209.61,0.0,0.00328,-0.017462
213.06,0.0,0.004053,-0.016486
216.78,0.0,0.003767,-0.01558
220.28,0.0,0.00406,-0.015312
223.91,0.0,0.003998,-0.01541
226.93,0.0,0.004371,-0.015078
231.18,0.0,0.004214,-0.015278
234.72,0.0,0.005468,-0.014785
238.31,0.0,0.005776,-0.01525
241.89,0.0,0.006309,-0.015454
245.44,0.0,0.006786,-0.014049
249.07,0.0,0.006949,-0.014659
252.66,0.0,0.0071,-0.014144
256.24,0.0,0.006506,-0.01477
259.74,0.0,0.0058,-0.014594
263.24,0.0,0.005218,-0.014908
266.92,0.0,0.004737,-0.015044
270.46,0.0,0.003752,-0.015999
274.05,0.0,0.003015,-0.015725
277.73,0.0,0.003077,-0.016359
281.27,0.0,0.002562,-0.016664
284.86,0.0,0.001956,-0.017496
288.84,0.0,0.001247,-0.020765
292.73,0.0,0.000575,-0.018759
296.28,0.0,2.1e-05,-0.019391
299.82,0.0,-0.000263,-0.019184
303.01,0.0,-0.00041,-0.020028
306.99,0.0,-0.000897,-0.020731
310.63,0.0,-0.001245,-0.021661
314.17,0.0,-0.001027,-0.021097
318.59,0.0,-0.001014,-0.020934
322.13,0.0,-0.001141,-0.02091
325.63,0.0,-0.000666,-0.019825
329.22,0.0,7.3e-05,-0.019893
332.85,0.0,0.000896,-0.019622
336.44,0.0,0.001801,-0.019092
