x,y,z,z2
7.04,0.0,0.018511,-0.001412
11.07,0.0,0.018268,-0.003577
14.61,0.0,0.01767,-0.003143
18.16,0.0,0.017707,-0.002789
21.74,0.0,0.01743,-0.003534
25.33,0.0,0.017057,-0.003303
28.87,0.0,0.016943,-0.003445
32.42,0.0,0.016247,-0.003876
36.01,0.0,0.015449,-0.004813
39.55,0.0,0.014522,-0.005645
43.18,0.0,0.01316,-0.00598
46.77,0.0,0.011765,-0.007376
50.22,0.0,0.010224,-0.009194
53.9,0.0,0.008653,-0.010617
57.36,0.0,0.007076,-0.012447
60.86,0.0,0.005329,-0.013858
64.66,0.0,0.003373,-0.016917
68.29,0.0,0.001838,-0.01895
71.84,0.0,-0.000139,-0.020774
75.34,0.0,-0.001637,-0.021529
78.97,0.0,-0.002847,-0.023402
82.51,0.0,-0.004292,-0.024348
86.06,0.0,-0.005682,-0.025974
89.56,0.0,-0.008322,-0.028094
93.1,0.0,-0.010888,-0.031033
96.6,0.0,-0.01359,-0.032955
100.23,0.0,-0.016556,-0.036495
103.73,0.0,-0.02021,-0.039508
107.28,0.0,-0.024267,-0.043867
110.78,0.0,-0.02919,-0.048091
114.32,0.0,-0.035312,-0.054566
117.86,0.0,-0.042247,-0.061375
121.36,0.0,-0.04968,-0.068617
124.86,0.0,-0.058587,-0.07668
128.45,0.0,-0.068328,-0.085718
131.99,0.0,-0.078901,-0.096519
135.54,0.0,-0.090453,-0.108155
139.21,0.0,-0.103414,-0.120164
142.93,0.0,-0.11696,-0.135429
146.48,0.0,-0.129332,-0.146667
150.06,0.0,-0.141485,-0.158519
153.56,0.0,-0.152628,-0.169933
156.84,0.0,-0.162588,-0.180296
160.69,0.0,-0.170318,-0.187422
164.24,0.0,-0.176612,-0.193796
167.78,0.0,-0.181384,-0.198183
171.41,0.0,-0.184782,-0.201368
174.96,0.0,-0.188257,-0.20468
178.5,0.0,-0.191883,-0.208281
182.04,0.0,-0.195536,-0.211914
185.54,0.0,-0.199138,-0.215358
189.18,0.0,-0.202986,-0.218676
192.72,0.0,-0.20639,-0.22183
196.18,0.0,-0.2094,-0.224705
199.85,0.0,-0.210577,-0.225447
203.61,0.0,-0.210142,-0.22598
207.11,0.0,-0.207138,-0.223189
210.7,0.0,-0.201729,-0.21814
214.24,0.0,-0.193938,-0.210654
217.74,0.0,-0.182336,-0.199692
221.38,0.0,-0.167819,-0.186288
224.96,0.0,-0.150885,-0.16928
228.55,0.0,-0.131991,-0.150478
232.01,0.0,-0.111787,-0.130725
235.55,0.0,-0.089461,-0.108895
239.09,0.0,-0.065909,-0.086033
242.68,0.0,-0.0418,-0.062277
246.14,0.0,-0.017971,-0.038568
249.77,0.0,0.006398,-0.014434
253.36,0.0,0.032359,0.012014
256.99,0.0,0.057217,0.036444
260.49,0.0,0.081235,0.05975
264.03,0.0,0.106065,0.084291
267.58,0.0,0.131838,0.109463
271.16,0.0,0.158157,0.135165
274.75,0.0,0.185566,0.162014
278.43,0.0,0.215649,0.190738
281.93,0.0,0.246703,0.220846
285.47,0.0,0.276401,0.250646
289.1,0.0,0.306114,0.278945
292.64,0.0,0.332165,0.305104
296.19,0.0,0.352904,0.325692
299.78,0.0,0.366145,0.339108
303.41,0.0,0.369546,0.342744
307.04,0.0,0.361176,0.335612
310.54,0.0,0.342069,0.317171
314.08,0.0,0.31279,0.28872
317.58,0.0,0.276949,0.253477
321.08,0.0,0.23779,0.215412
324.84,0.0,0.193853,0.173111
328.43,0.0,0.157128,0.136524
331.98,0.0,0.124457,0.103912
335.56,0.0,0.096749,0.076503
339.02,0.0,0.076731,0.056244
342.65,0.0,0.063012,0.042578
346.24,0.0,0.053955,0.032803
349.78,0.0,0.049861,0.029232
353.37,0.0,0.048825,0.027704
356.91,0.0,0.04905,0.027744
360.46,0.0,0.049254,0.02824
364.0,0.0,0.047288,0.026463
367.5,0.0,0.042362,0.0215
371.09,0.0,0.032858,0.012581
374.54,0.0,0.017488,-0.002481
378.09,0.0,-0.005327,-0.02472
381.59,0.0,-0.036837,-0.055115
385.13,0.0,-0.080518,-0.097564
388.76,0.0,-0.128263,-0.1442
392.26,0.0,-0.169896,-0.18549
395.76,0.0,-0.198543,-0.213861
398.87,0.0,-0.210176,-0.225453
402.89,0.0,-0.20618,-0.22252
406.44,0.0,-0.190709,-0.207662
409.81,0.0,-0.16639,-0.183334
413.57,0.0,-0.137172,-0.154375
417.07,0.0,-0.108463,-0.126889
420.66,0.0,-0.079505,-0.098205
424.11,0.0,-0.052662,-0.071994
427.7,0.0,-0.028959,-0.048537
431.07,0.0,-0.009043,-0.028691
434.79,0.0,0.00909,-0.011365
438.37,0.0,0.023681,0.002877
441.92,0.0,0.034716,0.01365
445.59,0.0,0.041801,0.019907
448.66,0.0,0.044365,0.023046
452.68,0.0,0.041878,0.020973
456.18,0.0,0.03328,0.012874
459.86,0.0,0.013798,-0.005956
463.4,0.0,-0.017219,-0.035731
466.99,0.0,-0.054773,-0.072302
470.53,0.0,-0.093645,-0.11025
474.03,0.0,-0.126914,-0.143679
477.62,0.0,-0.15444,-0.169942
481.21,0.0,-0.175573,-0.190589
484.84,0.0,-0.18964,-0.205028
488.47,0.0,-0.197668,-0.21367
491.79,0.0,-0.201143,-0.21777
495.69,0.0,-0.20025,-0.216562
499.23,0.0,-0.195903,-0.212776
502.77,0.0,-0.187231,-0.204332
506.01,0.0,-0.175626,-0.193158
509.91,0.0,-0.161248,-0.179378
513.41,0.0,-0.144776,-0.163232
517.04,0.0,-0.126806,-0.145555
520.58,0.0,-0.107656,-0.126729
524.17,0.0,-0.088155,-0.10753
527.67,0.0,-0.067687,-0.087092
531.26,0.0,-0.047629,-0.067083
534.84,0.0,-0.028849,-0.048454
538.3,0.0,-0.011476,-0.030842
541.93,0.0,0.005495,-0.014693
545.47,0.0,0.021081,0.001148
549.02,0.0,0.035434,0.014759
552.56,0.0,0.047679,0.026943
556.06,0.0,0.05845,0.037726
559.61,0.0,0.067642,0.04649
563.19,0.0,0.075055,0.054081
566.04,0.0,0.080945,0.059395
570.28,0.0,0.085819,0.064928
573.87,0.0,0.08999,0.068496
577.41,0.0,0.093351,0.071512
580.91,0.0,0.095834,0.073878
584.46,0.0,0.097913,0.075911
588.0,0.0,0.099971,0.078132
591.59,0.0,0.101835,0.079623
595.09,0.0,0.103203,0.081506
599.16,0.0,0.104392,0.083992
602.66,0.0,0.105227,0.0845
606.2,0.0,0.105085,0.084026
609.74,0.0,0.104968,0.083946
613.29,0.0,0.103434,0.082535
616.83,0.0,0.101734,0.080911
620.33,0.0,0.099297,0.078185
623.87,0.0,0.096185,0.075224
627.33,0.0,0.093101,0.072097
631.01,0.0,0.088733,0.06755
634.64,0.0,0.082661,0.061441
638.09,0.0,0.075113,0.054549
641.64,0.0,0.064703,0.043191
645.18,0.0,0.051195,0.031253
648.72,0.0,0.034821,0.014953
652.22,0.0,0.014004,-0.005272
655.72,0.0,-0.011624,-0.030962
659.31,0.0,-0.043322,-0.061787
662.81,0.0,-0.08542,-0.103155
666.4,0.0,-0.133916,-0.150007
669.99,0.0,-0.184221,-0.199578
673.53,0.0,-0.223525,-0.23838
677.16,0.0,-0.245472,-0.260007
680.75,0.0,-0.248186,-0.263084
684.29,0.0,-0.233358,-0.24952
687.79,0.0,-0.205447,-0.221787
691.42,0.0,-0.16813,-0.186146
694.97,0.0,-0.127176,-0.145161
698.42,0.0,-0.085216,-0.104301
702.14,0.0,-0.042813,-0.062773
705.77,0.0,-0.005589,-0.026778
709.32,0.0,0.027935,0.006851
12.16,35.09,0.046934,0.017753
15.66,35.09,0.04625,0.025489
19.21,35.09,0.045372,0.024725
22.84,35.09,0.044719,0.024873
26.42,35.09,0.044044,0.023909
29.92,35.09,0.044001,0.02402
33.56,35.09,0.044744,0.024722
37.19,35.09,0.045982,0.025449
40.51,35.09,0.046903,0.026764
44.41,35.09,0.047276,0.02544
47.99,35.09,0.04657,0.02649
51.49,35.09,0.045622,0.024115
55.04,35.09,0.044001,0.022803
58.71,35.09,0.042393,0.021173
62.26,35.09,0.041225,0.020504
65.8,35.09,0.040212,0.019275
69.39,35.09,0.039334,0.018548
72.84,35.09,0.038148,0.017756
76.47,35.09,0.03694,0.017251
80.06,35.09,0.035495,0.016167
83.61,35.09,0.034124,0.014334
87.24,35.09,0.03243,0.012516
90.69,35.09,0.030446,0.010461
94.28,35.09,0.028212,0.008644
97.82,35.09,0.026195,0.006669
101.5,35.09,0.024365,0.004402
105.09,35.09,0.023055,0.002334
108.63,35.09,0.021657,0.001302
112.22,35.09,0.01987,-0.000833
115.72,35.09,0.01763,-0.00293
119.31,35.09,0.013561,-0.006587
122.85,35.09,0.008708,-0.011409
126.09,35.09,0.003154,-0.016566
130.16,35.09,-0.00355,-0.022813
133.74,35.09,-0.010598,-0.030059
137.2,35.09,-0.018081,-0.037052
140.79,35.09,-0.025873,-0.044314
144.81,35.09,-0.034939,-0.05476
148.44,35.09,-0.042767,-0.061541
151.94,35.09,-0.050336,-0.069344
155.4,35.09,-0.057912,-0.076492
159.16,35.09,-0.065792,-0.08517
162.71,35.09,-0.073288,-0.091787
166.34,35.09,-0.080943,-0.099113
169.88,35.09,-0.088867,-0.106874
173.64,35.09,-0.097462,-0.113168
177.36,35.09,-0.106125,-0.123238
180.95,35.09,-0.1148,-0.131978
184.49,35.09,-0.123084,-0.140404
188.12,35.09,-0.132058,-0.151482
191.71,35.09,-0.139089,-0.156461
195.26,35.09,-0.145059,-0.162598
198.84,35.09,-0.149002,-0.166473
202.43,35.09,-0.150342,-0.167875
205.97,35.09,-0.14846,-0.165891
209.56,35.09,-0.142764,-0.159939
213.06,35.09,-0.134468,-0.151969
216.56,35.09,-0.122379,-0.140786
220.11,35.09,-0.107351,-0.125641
223.61,35.09,-0.089437,-0.108303
227.19,35.09,-0.068691,-0.087453
230.82,35.09,-0.046236,-0.064921
234.67,35.09,-0.019489,-0.042552
238.74,35.09,0.004004,-0.016162
242.33,35.09,0.0284,0.007766
245.92,35.09,0.051706,0.030711
249.51,35.09,0.075039,0.054358
253.01,35.09,0.097045,0.075156
256.55,35.09,0.119537,0.097769
260.22,35.09,0.141379,0.118949
263.9,35.09,0.162162,0.138379
267.49,35.09,0.182482,0.157778
271.07,35.09,0.202836,0.178653
274.62,35.09,0.224589,0.199466
278.16,35.09,0.247045,0.221897
280.66,35.09,0.269645,0.243955
